step,loss,steps_per_s,lr
16900,0.01965,3.34,9.83e-05
17000,0.01932,3.68,9.83e-05
17100,0.01861,3.34,9.83e-05
17200,0.01926,3.57,9.83e-05
17300,0.01980,3.37,9.83e-05
17400,0.01865,3.65,9.82e-05
17500,0.01766,3.40,9.82e-05
17600,0.01908,3.68,9.82e-05
17700,0.01865,3.33,9.82e-05
17800,0.01866,3.76,9.82e-05
17900,0.01842,3.64,9.81e-05
18000,0.01931,3.88,9.81e-05
18100,0.01888,3.52,9.81e-05
18200,0.01917,3.79,9.81e-05
18300,0.01861,3.57,9.80e-05
18400,0.01768,3.94,9.80e-05
18500,0.01777,3.57,9.80e-05
18600,0.01969,3.79,9.80e-05
18700,0.01851,3.56,9.80e-05
18800,0.01821,3.91,9.79e-05
18900,0.01939,3.33,9.79e-05
19000,0.01900,3.45,9.79e-05
19100,0.01832,3.52,9.79e-05
19200,0.01839,3.96,9.78e-05
19300,0.01752,3.57,9.78e-05
19400,0.01759,3.75,9.78e-05
19500,0.01781,3.64,9.78e-05
19600,0.01944,3.72,9.78e-05
19700,0.01896,3.45,9.77e-05
19800,0.01752,3.84,9.77e-05
19900,0.01841,3.56,9.77e-05
20000,0.01864,3.88,9.77e-05
20100,0.01771,3.46,9.76e-05
20200,0.01782,3.85,9.76e-05
20300,0.01686,3.57,9.76e-05
20400,0.01889,3.90,9.76e-05
20500,0.01775,3.55,9.75e-05
20600,0.01854,3.90,9.75e-05
20700,0.01728,3.58,9.75e-05
20800,0.01685,3.92,9.75e-05
20900,0.01911,3.59,9.74e-05
21000,0.01814,3.93,9.74e-05
21100,0.01690,3.68,9.74e-05
21200,0.01781,3.98,9.74e-05
21300,0.01726,3.31,9.73e-05
21400,0.01708,3.84,9.73e-05
21500,0.01838,3.59,9.73e-05
21600,0.01802,3.91,9.73e-05
21700,0.01785,3.56,9.72e-05
21800,0.01823,3.85,9.72e-05
21900,0.01826,3.62,9.72e-05
22000,0.01859,3.82,9.72e-05
22100,0.01616,3.36,9.71e-05
22200,0.01777,2.99,9.71e-05
22300,0.01701,3.18,9.71e-05
22400,0.01724,3.79,9.71e-05
22500,0.01718,3.45,9.70e-05
22600,0.01654,3.87,9.70e-05
22700,0.01670,3.65,9.70e-05
22800,0.01719,3.76,9.69e-05
22900,0.01798,3.55,9.69e-05
23000,0.01841,3.83,9.69e-05
23100,0.01691,3.66,9.69e-05
23200,0.01723,3.86,9.68e-05
23300,0.01709,3.38,9.68e-05
23400,0.01793,3.63,9.68e-05
23500,0.01746,3.55,9.68e-05
23600,0.01629,3.81,9.67e-05
23700,0.01665,3.51,9.67e-05
23800,0.01593,3.87,9.67e-05
23900,0.01773,3.64,9.66e-05
24000,0.01589,3.78,9.66e-05
24100,0.01661,3.49,9.66e-05
24200,0.01632,3.65,9.66e-05
24300,0.01866,3.63,9.65e-05
24400,0.01624,3.82,9.65e-05
24500,0.01677,3.49,9.65e-05
24600,0.01599,3.71,9.64e-05
24700,0.01696,3.54,9.64e-05
24800,0.01701,3.71,9.64e-05
24900,0.01691,3.29,9.64e-05
25000,0.01569,3.66,9.63e-05
25100,0.01710,3.45,9.63e-05
25200,0.01523,3.54,9.63e-05
25300,0.01680,3.19,9.62e-05
25400,0.01560,3.51,9.62e-05
25500,0.01642,3.42,9.62e-05
25600,0.01658,3.63,9.61e-05
25700,0.01630,3.29,9.61e-05
25800,0.01559,3.37,9.61e-05
25900,0.01710,3.31,9.61e-05
26000,0.01611,3.55,9.60e-05
26100,0.01754,3.20,9.60e-05
26200,0.01656,3.40,9.60e-05
26300,0.01706,3.47,9.59e-05
26400,0.01541,3.63,9.59e-05
26500,0.01596,3.63,9.59e-05
26600,0.01509,4.01,9.58e-05
26700,0.01686,3.81,9.58e-05
26800,0.01590,3.71,9.58e-05
26900,0.01655,3.34,9.57e-05
27000,0.01543,3.60,9.57e-05
27100,0.01572,3.52,9.57e-05
27200,0.01680,3.62,9.56e-05
27300,0.01544,3.10,9.56e-05
27400,0.01509,3.40,9.56e-05
27500,0.01615,3.36,9.55e-05
27600,0.01562,3.82,9.55e-05
27700,0.01552,3.34,9.55e-05
27800,0.01574,3.52,9.55e-05
27900,0.01630,3.37,9.54e-05
28000,0.01510,3.66,9.54e-05
28100,0.01459,3.22,9.54e-05
28200,0.01493,3.50,9.53e-05
28300,0.01471,3.05,9.53e-05
28400,0.01568,3.23,9.53e-05
28500,0.01449,2.96,9.52e-05
28600,0.01588,3.11,9.52e-05
28700,0.01472,3.10,9.52e-05
28800,0.01554,3.21,9.51e-05
28900,0.01558,2.78,9.51e-05
29000,0.01566,3.12,9.50e-05
29100,0.01481,3.10,9.50e-05
29200,0.01551,3.55,9.50e-05
29300,0.01491,3.37,9.49e-05
29400,0.01496,3.70,9.49e-05
29500,0.01513,3.16,9.49e-05
29600,0.01506,3.83,9.48e-05
29700,0.01521,3.49,9.48e-05
29800,0.01480,3.80,9.48e-05
29900,0.01580,3.60,9.47e-05
30000,0.01414,3.89,9.47e-05
30100,0.01451,3.50,9.47e-05
30200,0.01482,3.79,9.46e-05
30300,0.01435,3.70,9.46e-05
30400,0.01601,3.94,9.46e-05
30500,0.01498,3.52,9.45e-05
30600,0.01473,3.71,9.45e-05
30700,0.01442,3.61,9.45e-05
30800,0.01465,3.80,9.44e-05
30900,0.01470,3.41,9.44e-05
31000,0.01492,3.72,9.43e-05
31100,0.01383,3.69,9.43e-05
31200,0.01551,4.10,9.43e-05
31300,0.01530,3.59,9.42e-05
31400,0.01496,3.93,9.42e-05
31500,0.01567,3.87,9.42e-05
31600,0.01456,4.11,9.41e-05
31700,0.01475,3.75,9.41e-05
31800,0.01521,4.10,9.40e-05
31900,0.01461,3.91,9.40e-05
32000,0.01489,4.17,9.40e-05
32100,0.01468,3.74,9.39e-05
32200,0.01603,4.05,9.39e-05
32300,0.01379,3.89,9.39e-05
32400,0.01482,4.13,9.38e-05
32500,0.01493,3.66,9.38e-05
32600,0.01480,3.93,9.37e-05
32700,0.01465,3.86,9.37e-05
32800,0.01449,3.93,9.37e-05
32900,0.01493,3.68,9.36e-05
33000,0.01533,4.02,9.36e-05
33100,0.01471,3.83,9.36e-05
33200,0.01472,3.89,9.35e-05
33300,0.01483,3.65,9.35e-05
33400,0.01561,4.00,9.34e-05
33500,0.01467,3.85,9.34e-05
33600,0.01347,3.89,9.34e-05
33700,0.01404,3.45,9.33e-05
33800,0.01502,3.74,9.33e-05
33900,0.01478,3.64,9.32e-05
34000,0.01554,3.93,9.32e-05
34100,0.01484,3.66,9.32e-05
34200,0.01547,4.01,9.31e-05
34300,0.01552,3.85,9.31e-05
34400,0.01400,3.80,9.30e-05
34500,0.01525,3.35,9.30e-05
34600,0.01313,3.66,9.30e-05
34700,0.01360,3.62,9.29e-05
34800,0.01454,4.01,9.29e-05
34900,0.01406,3.50,9.28e-05
35000,0.01524,3.87,9.28e-05
35100,0.01495,3.64,9.28e-05
35200,0.01422,3.86,9.27e-05
35300,0.01365,3.51,9.27e-05
35400,0.01419,3.85,9.26e-05
35500,0.01453,3.70,9.26e-05
35600,0.01403,3.95,9.26e-05
35700,0.01345,3.66,9.25e-05
35800,0.01363,4.01,9.25e-05
35900,0.01440,3.83,9.24e-05
36000,0.01452,3.96,9.24e-05
36100,0.01434,3.73,9.23e-05
36200,0.01358,4.07,9.23e-05
36300,0.01369,3.86,9.23e-05
36400,0.01251,4.07,9.22e-05
36500,0.01288,3.57,9.22e-05
36600,0.01354,4.00,9.21e-05
36700,0.01434,3.77,9.21e-05
36800,0.01374,3.93,9.21e-05
36900,0.01416,3.53,9.20e-05
37000,0.01390,3.76,9.20e-05
37100,0.01327,3.69,9.19e-05
37200,0.01480,4.00,9.19e-05
37300,0.01455,3.68,9.18e-05
37400,0.01351,4.01,9.18e-05
37500,0.01408,3.81,9.18e-05
37600,0.01348,4.09,9.17e-05
37700,0.01314,3.69,9.17e-05
37800,0.01394,3.98,9.16e-05
37900,0.01488,3.70,9.16e-05
38000,0.01323,4.03,9.15e-05
38100,0.01222,3.68,9.15e-05
38200,0.01276,4.01,9.14e-05
38300,0.01376,3.83,9.14e-05
38400,0.01346,4.06,9.14e-05
38500,0.01366,3.67,9.13e-05
38600,0.01404,3.99,9.13e-05
38700,0.01372,3.86,9.12e-05
38800,0.01362,4.06,9.12e-05
38900,0.01427,3.68,9.11e-05
39000,0.01313,3.96,9.11e-05
39100,0.01427,3.82,9.10e-05
39200,0.01355,4.04,9.10e-05
39300,0.01388,3.61,9.10e-05
39400,0.01298,3.98,9.09e-05
39500,0.01388,3.84,9.09e-05
39600,0.01441,4.09,9.08e-05
39700,0.01399,3.69,9.08e-05
39800,0.01427,4.04,9.07e-05
39900,0.01265,3.80,9.07e-05
40000,0.01311,4.05,9.06e-05
40100,0.01435,3.60,9.06e-05
40200,0.01402,3.89,9.05e-05
40300,0.01406,3.60,9.05e-05
40400,0.01378,3.93,9.05e-05
40500,0.01367,3.58,9.04e-05
40600,0.01401,3.92,9.04e-05
40700,0.01341,3.79,9.03e-05
40800,0.01416,4.05,9.03e-05
40900,0.01300,3.60,9.02e-05
41000,0.01302,3.94,9.02e-05
41100,0.01272,3.83,9.01e-05
41200,0.01223,4.03,9.01e-05
41300,0.01301,3.62,9.00e-05
41400,0.01340,3.97,9.00e-05
41500,0.01336,3.77,8.99e-05
41600,0.01295,3.96,8.99e-05
41700,0.01301,3.64,8.98e-05
41800,0.01249,3.92,8.98e-05
41900,0.01450,3.78,8.97e-05
42000,0.01345,4.03,8.97e-05
42100,0.01235,3.60,8.96e-05
42200,0.01325,4.00,8.96e-05
42300,0.01340,3.67,8.96e-05
42400,0.01300,4.01,8.95e-05
42500,0.01274,3.62,8.95e-05
42600,0.01357,4.00,8.94e-05
42700,0.01213,3.76,8.94e-05
42800,0.01294,4.02,8.93e-05
42900,0.01211,3.67,8.93e-05
43000,0.01305,3.95,8.92e-05
43100,0.01222,3.65,8.92e-05
43200,0.01277,4.04,8.91e-05
43300,0.01328,3.65,8.91e-05
43400,0.01151,3.96,8.90e-05
43500,0.01265,3.84,8.90e-05
43600,0.01292,4.06,8.89e-05
43700,0.01213,3.49,8.89e-05
43800,0.01409,3.83,8.88e-05
43900,0.01296,3.81,8.88e-05
44000,0.01261,4.06,8.87e-05
44100,0.01317,3.57,8.87e-05
44200,0.01322,3.95,8.86e-05
44300,0.01260,3.80,8.86e-05
44400,0.01268,4.06,8.85e-05
44500,0.01342,3.62,8.85e-05
44600,0.01314,3.90,8.84e-05
44700,0.01367,3.87,8.84e-05
44800,0.01252,4.04,8.83e-05
44900,0.01397,3.54,8.83e-05
45000,0.01256,3.85,8.82e-05
45100,0.01344,3.74,8.82e-05
45200,0.01319,4.01,8.81e-05
45300,0.01320,3.71,8.81e-05
45400,0.01245,4.05,8.80e-05
45500,0.01237,3.85,8.80e-05
45600,0.01238,3.99,8.79e-05
45700,0.01171,3.43,8.79e-05
45800,0.01289,3.58,8.78e-05
45900,0.01289,3.68,8.78e-05
46000,0.01155,3.97,8.77e-05
46100,0.01252,3.36,8.77e-05
46200,0.01197,3.70,8.76e-05
46300,0.01319,3.46,8.75e-05
46400,0.01247,3.94,8.75e-05
46500,0.01222,3.42,8.74e-05
46600,0.01272,3.79,8.74e-05
46700,0.01244,3.82,8.73e-05
46800,0.01197,3.99,8.73e-05
46900,0.01223,3.64,8.72e-05
47000,0.01293,3.96,8.72e-05
47100,0.01266,3.79,8.71e-05
47200,0.01123,4.08,8.71e-05
47300,0.01192,3.60,8.70e-05
47400,0.01188,3.96,8.70e-05
47500,0.01290,3.70,8.69e-05
47600,0.01262,4.02,8.69e-05
47700,0.01264,3.66,8.68e-05
47800,0.01247,3.96,8.68e-05
47900,0.01351,3.78,8.67e-05
48000,0.01095,4.05,8.67e-05
48100,0.01195,3.58,8.66e-05
48200,0.01197,3.89,8.65e-05
48300,0.01231,3.80,8.65e-05
48400,0.01252,3.76,8.64e-05
48500,0.01241,3.53,8.64e-05
48600,0.01139,3.78,8.63e-05
48700,0.01162,3.70,8.63e-05
48800,0.01172,3.86,8.62e-05
48900,0.01331,3.51,8.62e-05
49000,0.01127,3.86,8.61e-05
49100,0.01255,3.72,8.61e-05
49200,0.01150,3.94,8.60e-05
49300,0.01217,3.47,8.59e-05
49400,0.01213,3.83,8.59e-05
49500,0.01236,3.66,8.58e-05
49600,0.01310,3.97,8.58e-05
49700,0.01194,3.65,8.57e-05
49800,0.01211,3.97,8.57e-05
49900,0.01167,3.82,8.56e-05
50000,0.01151,4.08,8.56e-05
50100,0.01193,3.49,8.55e-05
50200,0.01273,3.97,8.55e-05
50300,0.01235,3.82,8.54e-05
50400,0.01259,4.07,8.53e-05
50500,0.01207,3.62,8.53e-05
50600,0.01196,3.97,8.52e-05
50700,0.01132,3.86,8.52e-05
50800,0.01199,4.07,8.51e-05
50900,0.01243,3.67,8.51e-05
51000,0.01250,3.99,8.50e-05
51100,0.01140,3.84,8.49e-05
51200,0.01075,3.92,8.49e-05
51300,0.01249,3.48,8.48e-05
51400,0.01318,3.70,8.48e-05
51500,0.01247,3.60,8.47e-05
51600,0.01170,3.90,8.47e-05
51700,0.01148,3.71,8.46e-05
51800,0.01153,4.01,8.46e-05
51900,0.01152,3.87,8.45e-05
52000,0.01180,4.04,8.44e-05
52100,0.01147,3.65,8.44e-05
52200,0.01101,3.99,8.43e-05
52300,0.01054,3.81,8.43e-05
52400,0.01168,4.08,8.42e-05
52500,0.01234,3.72,8.42e-05
52600,0.01266,3.98,8.41e-05
52700,0.01201,3.85,8.40e-05
52800,0.01163,4.07,8.40e-05
52900,0.01323,3.71,8.39e-05
53000,0.01269,4.19,8.39e-05
53100,0.01212,3.92,8.38e-05
53200,0.01182,4.20,8.37e-05
53300,0.01143,3.77,8.37e-05
53400,0.01194,4.19,8.36e-05
